"ring_diagonalLength [mm]","w [mm]","Freq [GHz]","re(S(FloquetPort1:1,FloquetPort1:1)) []","im(S(FloquetPort1:1,FloquetPort1:1)) []"
0.3,0.1,28.94,-0.889165502524683,0.456971341776076
0.3,0.1,28.95,-0.889074321562543,0.457148473123006
0.3,0.1,28.96,-0.888983086046751,0.457325623620737
0.3,0.1,28.97,-0.888891795947186,0.457502793272728
0.3,0.1,28.98,-0.888800451233706,0.457679982082427
0.3,0.1,28.99,-0.888709051876137,0.457857190053274
0.3,0.1,29,-0.88861759784429,0.458034417188696
0.3,0.1,29.01,-0.888526089107945,0.458211663492114
0.3,0.1,29.02,-0.888434525636863,0.458388928966936
0.3,0.1,29.03,-0.888342907400778,0.45856621361656
0.3,0.1,29.04,-0.888251234369402,0.458743517444374
0.3,0.1,29.05,-0.888159506512423,0.458920840453754
0.3,0.1,29.06,-0.8880677237995,0.45909818264807
0.3,0.1,29.07,-0.887975886200275,0.459275544030679
0.3,0.1,29.08,-0.887883993684363,0.459452924604924
0.3,0.1,29.09,-0.887792046221351,0.459630324374145
0.3,0.1,29.1,-0.887700043780809,0.459807743341664
0.3,0.1,29.11,-0.887607986332276,0.4599851815108
0.3,0.1,29.12,-0.88751587384527,0.460162638884853
0.3,0.1,29.13,-0.887423706289285,0.460340115467118
0.3,0.1,29.14,-0.88733148363379,0.460517611260878
0.3,0.1,29.15,-0.887239205848228,0.460695126269406
0.3,0.1,29.16,-0.887146872902019,0.460872660495963
0.3,0.1,29.17,-0.887054484764561,0.461050213943797
0.3,0.1,29.18,-0.886962041405221,0.461227786616149
0.3,0.1,29.19,-0.886869542793347,0.461405378516249
0.3,0.1,29.2,-0.886776988898263,0.461582989647313
0.3,0.1,29.21,-0.886684379689263,0.461760620012547
0.3,0.1,29.22,-0.886591715135621,0.461938269615148
0.3,0.1,29.23,-0.886498995206586,0.462115938458298
0.3,0.1,29.24,-0.886406219871379,0.462293626545174
0.3,0.1,29.25,-0.886313389099199,0.462471333878935
0.3,0.1,29.26,-0.886220502859219,0.462649060462732
0.3,0.1,29.27,-0.886127561120591,0.462826806299703
0.3,0.1,29.28,-0.886034563852435,0.46300457139298
0.3,0.1,29.29,-0.885941511023852,0.463182355745675
0.3,0.1,29.3,-0.885848402603917,0.463360159360896
0.3,0.1,29.31,-0.885755238561677,0.463537982241736
0.3,0.1,29.32,-0.885662018866157,0.463715824391277
0.3,0.1,29.33,-0.885568743486357,0.463893685812588
0.3,0.1,29.34,-0.885475412391251,0.464071566508729
0.3,0.1,29.35,-0.885382025549788,0.464249466482748
0.3,0.1,29.36,-0.885288582930891,0.464427385737679
0.3,0.1,29.37,-0.885195084503459,0.464605324276547
0.3,0.1,29.38,-0.885101530236366,0.464783282102361
0.3,0.1,29.39,-0.885007920098461,0.464961259218124
0.3,0.1,29.4,-0.884914254058567,0.465139255626823
0.3,0.1,29.41,-0.88482053208548,0.465317271331432
0.3,0.1,29.42,-0.884726754147975,0.465495306334916
0.3,0.1,29.43,-0.884632920214796,0.465673360640227
0.3,0.1,29.44,-0.884539030254669,0.465851434250304
0.3,0.1,29.45,-0.884445084236286,0.466029527168076
0.3,0.1,29.46,-0.884351082128321,0.466207639396458
0.3,0.1,29.47,-0.884257023899418,0.466385770938351
0.3,0.1,29.48,-0.884162909518197,0.466563921796647
0.3,0.1,29.49,-0.884068738953252,0.466742091974223
0.3,0.1,29.5,-0.883974512173153,0.466920281473946
0.3,0.1,29.51,-0.883880229146441,0.467098490298669
0.3,0.1,29.52,-0.883785889841633,0.467276718451234
0.3,0.1,29.53,-0.883691494227223,0.467454965934465
0.3,0.1,29.54,-0.883597042271677,0.467633232751182
0.3,0.1,29.55,-0.883502533943433,0.467811518904186
0.3,0.1,29.56,-0.883407969210907,0.467989824396266
0.3,0.1,29.57,-0.883313348042486,0.4681681492302
0.3,0.1,29.58,-0.883218670406533,0.468346493408753
0.3,0.1,29.59,-0.883123936271386,0.468524856934675
0.3,0.1,29.6,-0.883029145605355,0.468703239810706
0.3,0.1,29.61,-0.882934298376723,0.468881642039572
0.3,0.1,29.62,-0.882839394553753,0.469060063623982
0.3,0.1,29.63,-0.882744434104674,0.469238504566641
0.3,0.1,29.64,-0.882649416997694,0.469416964870231
0.3,0.1,29.65,-0.882554343200993,0.469595444537424
0.3,0.1,29.66,-0.882459212682728,0.469773943570882
